NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.24237832	-0.9049245	0.76760566	1.0	1.0	8015	tags=34%, list=28%, signal=47%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.28218746	-0.79392385	0.80047506	1.0	1.0	8399	tags=38%, list=30%, signal=53%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.23031926	-0.71873087	0.94711536	1.0	1.0	5606	tags=17%, list=20%, signal=21%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.1726752	-0.64385414	1.0	1.0	1.0	22722	tags=100%, list=80%, signal=501%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.19537833	-0.57154524	0.99492383	0.99813366	1.0	8957	tags=33%, list=32%, signal=49%	
